Pangolin,emerging_lineage
A.2.5.2,Not Emerging Lineage
A.3,Not Emerging Lineage
AY.100,B.1.617.2 (Delta)
AY.102,B.1.617.2 (Delta)
AY.103,B.1.617.2 (Delta)
AY.107,B.1.617.2 (Delta)
AY.109,B.1.617.2 (Delta)
AY.110,B.1.617.2 (Delta)
AY.112,B.1.617.2 (Delta)
AY.113,B.1.617.2 (Delta)
AY.114,B.1.617.2 (Delta)
AY.116,B.1.617.2 (Delta)
AY.116.1,B.1.617.2 (Delta)
AY.117,B.1.617.2 (Delta)
AY.118,B.1.617.2 (Delta)
AY.119,B.1.617.2 (Delta)
AY.119.2,B.1.617.2 (Delta)
AY.120,B.1.617.2 (Delta)
AY.120.1,B.1.617.2 (Delta)
AY.122,B.1.617.2 (Delta)
AY.122.4,B.1.617.2 (Delta)
AY.124,B.1.617.2 (Delta)
AY.126,B.1.617.2 (Delta)
AY.127,B.1.617.2 (Delta)
AY.13,B.1.617.2 (Delta)
AY.14,B.1.617.2 (Delta)
AY.19,B.1.617.2 (Delta)
AY.2,B.1.617.2 (Delta)
AY.20,B.1.617.2 (Delta)
AY.22,B.1.617.2 (Delta)
AY.23,B.1.617.2 (Delta)
AY.25,B.1.617.2 (Delta)
AY.25.1,B.1.617.2 (Delta)
AY.25.3,B.1.617.2 (Delta)
AY.26,B.1.617.2 (Delta)
AY.3,B.1.617.2 (Delta)
AY.3.1,B.1.617.2 (Delta)
AY.3.3,B.1.617.2 (Delta)
AY.32,B.1.617.2 (Delta)
AY.34,B.1.617.2 (Delta)
AY.35,B.1.617.2 (Delta)
AY.36,B.1.617.2 (Delta)
AY.37,B.1.617.2 (Delta)
AY.38,B.1.617.2 (Delta)
AY.39,B.1.617.2 (Delta)
AY.39.1,B.1.617.2 (Delta)
AY.39.2,B.1.617.2 (Delta)
AY.4,B.1.617.2 (Delta)
AY.4.2.2,B.1.617.2 (Delta)
AY.4.7,B.1.617.2 (Delta)
AY.41,B.1.617.2 (Delta)
AY.43,B.1.617.2 (Delta)
AY.44,B.1.617.2 (Delta)
AY.45,B.1.617.2 (Delta)
AY.46,B.1.617.2 (Delta)
AY.46.2,B.1.617.2 (Delta)
AY.46.4,B.1.617.2 (Delta)
AY.47,B.1.617.2 (Delta)
AY.48,B.1.617.2 (Delta)
AY.5,B.1.617.2 (Delta)
AY.5.3,B.1.617.2 (Delta)
AY.5.5,B.1.617.2 (Delta)
AY.51,B.1.617.2 (Delta)
AY.54,B.1.617.2 (Delta)
AY.62,B.1.617.2 (Delta)
AY.63,B.1.617.2 (Delta)
AY.64,B.1.617.2 (Delta)
AY.67,B.1.617.2 (Delta)
AY.75,B.1.617.2 (Delta)
AY.81,B.1.617.2 (Delta)
AY.82,B.1.617.2 (Delta)
AY.85,B.1.617.2 (Delta)
AY.86,B.1.617.2 (Delta)
AY.92,B.1.617.2 (Delta)
AY.98.1,B.1.617.2 (Delta)
AY.99.1,B.1.617.2 (Delta)
B,Not Emerging Lineage
B.1,Not Emerging Lineage
B.1.1,Not Emerging Lineage
B.1.1.128,Not Emerging Lineage
B.1.1.186,Not Emerging Lineage
B.1.1.222,Not Emerging Lineage
B.1.1.228,Not Emerging Lineage
B.1.1.291,Not Emerging Lineage
B.1.1.316,Not Emerging Lineage
B.1.1.318,Not Emerging Lineage
B.1.1.369,Not Emerging Lineage
B.1.1.416,Not Emerging Lineage
B.1.1.434,Not Emerging Lineage
B.1.1.519,B.1.1.519
B.1.1.529,B.1.1.529 (Omicron)
B.1.1.7,B.1.1.7 (Alpha)
B.1.1.70,Not Emerging Lineage
B.1.1.99,Not Emerging Lineage
B.1.116,Not Emerging Lineage
B.1.119,Not Emerging Lineage
B.1.177,Not Emerging Lineage
B.1.181,Not Emerging Lineage
B.1.2,Not Emerging Lineage
B.1.206,Not Emerging Lineage
B.1.232,Not Emerging Lineage
B.1.234,Not Emerging Lineage
B.1.240,Not Emerging Lineage
B.1.241,Not Emerging Lineage
B.1.243,Not Emerging Lineage
B.1.293,Not Emerging Lineage
B.1.311,Not Emerging Lineage
B.1.335,Not Emerging Lineage
B.1.336,Not Emerging Lineage
B.1.349,Not Emerging Lineage
B.1.351,B.1.351 (Beta)
B.1.38,Not Emerging Lineage
B.1.387,Not Emerging Lineage
B.1.396,Not Emerging Lineage
B.1.400,Not Emerging Lineage
B.1.415.1,Not Emerging Lineage
B.1.426,Not Emerging Lineage
B.1.427,B.1.427/429 (Epsilon)
B.1.429,B.1.427/429 (Epsilon)
B.1.443,Not Emerging Lineage
B.1.517,Not Emerging Lineage
B.1.521,Not Emerging Lineage
B.1.525,B.1.525 (Eta)
B.1.526,B.1.526 (Iota)
B.1.551,Not Emerging Lineage
B.1.561,Not Emerging Lineage
B.1.565,Not Emerging Lineage
B.1.567,Not Emerging Lineage
B.1.575,Not Emerging Lineage
B.1.582,Not Emerging Lineage
B.1.595,Not Emerging Lineage
B.1.596,Not Emerging Lineage
B.1.609,Not Emerging Lineage
B.1.617.2,B.1.617.2 (Delta)
B.1.621,B.1.621 (Mu)
B.1.621.1,B.1.621 (Mu)
B.1.637,Not Emerging Lineage
B.30,Not Emerging Lineage
BA.1,B.1.1.529 (Omicron)
BA.1.1,B.1.1.529 (Omicron)
BA.1.1.1,B.1.1.529 (Omicron)
BA.1.1.10,B.1.1.529 (Omicron)
BA.1.1.14,B.1.1.529 (Omicron)
BA.1.1.15,B.1.1.529 (Omicron)
BA.1.1.2,B.1.1.529 (Omicron)
BA.1.14,B.1.1.529 (Omicron)
BA.1.15,B.1.1.529 (Omicron)
BA.1.15.1,B.1.1.529 (Omicron)
BA.1.16,B.1.1.529 (Omicron)
BA.1.17,B.1.1.529 (Omicron)
BA.1.17.2,B.1.1.529 (Omicron)
BA.1.18,B.1.1.529 (Omicron)
BA.1.5,B.1.1.529 (Omicron)
BA.1.6,B.1.1.529 (Omicron)
BA.2,B.1.1.529 (Omicron)
BA.2.1,B.1.1.529 (Omicron)
BA.2.3,B.1.1.529 (Omicron)
BA.2.3.1,B.1.1.529 (Omicron)
BA.2.3.2,B.1.1.529 (Omicron)
BA.2.7,B.1.1.529 (Omicron)
BA.2.9,B.1.1.529 (Omicron)
None,Not Emerging Lineage
P.1,P.1 (Gamma)
P.1.12,P.1 (Gamma)
P.1.13,P.1 (Gamma)
P.1.14,P.1 (Gamma)
P.1.16,P.1 (Gamma)
P.1.17,P.1 (Gamma)
P.2,Not Emerging Lineage
Q.3,B.1.1.7 (Alpha)
Q.8,B.1.1.7 (Alpha)
