Strain,Accession ID,Collection date,lineage,scorpio_call,Location
hCoV-19/USA/AK-ASU44194/2022,EPI_ISL_10029927,2/11/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-CDC-LC0527387/2022,EPI_ISL_10040989,1/26/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0527386/2022,EPI_ISL_10040990,1/26/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0527381/2022,EPI_ISL_10041087,1/27/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0527392/2022,EPI_ISL_10041099,1/27/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528985/2022,EPI_ISL_10041523,2/1/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528984/2022,EPI_ISL_10041528,2/1/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528994/2022,EPI_ISL_10041865,2/2/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528995/2022,EPI_ISL_10041866,2/2/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528996/2022,EPI_ISL_10041868,2/2/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528965/2022,EPI_ISL_10042211,2/3/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528993/2022,EPI_ISL_10042214,2/3/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528992/2022,EPI_ISL_10042228,2/3/2022,BA.2.3,Omicron (BA.2-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528788/2022,EPI_ISL_10042405,2/4/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528787/2022,EPI_ISL_10042406,2/4/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528807/2022,EPI_ISL_10042407,2/4/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528809/2022,EPI_ISL_10042547,2/6/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528775/2022,EPI_ISL_10042548,2/6/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-CDC-LC0528786/2022,EPI_ISL_10042549,2/6/2022,BA.1.1,Omicron (BA.1-like),Unspecified
hCoV-19/USA/AK-PHL17691/2022,EPI_ISL_10057368,1/28/2022,BA.2.3,Omicron (BA.2-like),Gulf Coast
hCoV-19/USA/AK-PHL17683/2022,EPI_ISL_10057369,1/31/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17685/2022,EPI_ISL_10057370,1/23/2022,BA.1.15,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17729/2022,EPI_ISL_10057371,1/20/2022,BA.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17714/2022,EPI_ISL_10057372,1/25/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17684/2022,EPI_ISL_10057373,1/30/2022,BA.1.15,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17686/2022,EPI_ISL_10057374,1/20/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17682/2022,EPI_ISL_10057375,1/21/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17690/2022,EPI_ISL_10057376,2/1/2022,BA.1.1,Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL17702/2022,EPI_ISL_10057377,2/2/2022,BA.1.1,Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL17710/2022,EPI_ISL_10057378,1/26/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17706/2022,EPI_ISL_10057379,1/25/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17669/2022,EPI_ISL_10057380,1/12/2022,BA.1.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17674/2022,EPI_ISL_10057381,1/12/2022,BA.1.20,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17715/2022,EPI_ISL_10057382,1/27/2022,BA.1.14,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17733/2022,EPI_ISL_10057383,1/20/2022,BA.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17719/2022,EPI_ISL_10057384,1/23/2022,BA.1.1.18,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17672/2022,EPI_ISL_10057385,1/12/2022,BA.1.20,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17746/2022,EPI_ISL_10057386,2/1/2022,BA.1.18,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17687/2022,EPI_ISL_10057387,1/31/2022,BA.1.1,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL17727/2022,EPI_ISL_10057388,1/20/2022,BA.1.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17700/2022,EPI_ISL_10057389,2/2/2022,BA.1,Probable Omicron (BA.1-like),Interior
hCoV-19/USA/AK-PHL17707/2022,EPI_ISL_10057390,1/26/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17742/2022,EPI_ISL_10057391,2/1/2022,BA.1.1,Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17712/2022,EPI_ISL_10057392,1/26/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17677/2022,EPI_ISL_10057393,1/12/2022,BA.1.1,Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17675/2022,EPI_ISL_10057394,1/12/2022,BA.1.1,Probable Omicron (BA.1-like),Southeast
hCoV-19/USA/AK-PHL17696/2022,EPI_ISL_10057396,1/28/2022,BA.1.1.2,Probable Omicron (BA.1-like),Gulf Coast
hCoV-19/USA/AK-PHL17713/2022,EPI_ISL_10057397,1/26/2022,BA.1.1,Probable Omicron (BA.1-like),Anchorage-Mat Su
hCoV-19/USA/AK-PHL17679/2022,EPI_ISL_10057398,1/12/2022,BA.1.15,Probable Omicron (BA.1-like),Southeast
